input 1,input 2,output
2.667990048,1.627911526,1.68499333
1.627911526,1.68499333,1.423063673
1.68499333,1.423063673,1.288721363
1.423063673,1.288721363,1.26752999
1.288721363,1.26752999,1.664784483
1.26752999,1.664784483,1.310274166
1.664784483,1.310274166,1.404528112
1.310274166,1.404528112,1.143081649
1.404528112,1.143081649,0.955760774
1.143081649,0.955760774,1.057458551
0.955760774,1.057458551,1.101732415
1.057458551,1.101732415,1.875249292
1.101732415,1.875249292,3.803986471
1.875249292,3.803986471,7.593771467
3.803986471,7.593771467,13.8892336
7.593771467,13.8892336,17.11825452
13.8892336,17.11825452,16.88088994
17.11825452,16.88088994,18.58521294
16.88088994,18.58521294,11.08654417
18.58521294,11.08654417,6.821739608
11.08654417,6.821739608,3.339084241
6.821739608,3.339084241,3.695333725
3.339084241,3.695333725,3.183594112
3.695333725,3.183594112,2.033651272
3.183594112,2.033651272,1.433887806
2.033651272,1.433887806,1.571713286
1.433887806,1.571713286,1.254280549
1.571713286,1.254280549,1.814467059
1.254280549,1.814467059,1.344344882
1.814467059,1.344344882,1.442543263
1.344344882,1.442543263,1.380303074
1.442543263,1.380303074,0.897944739
1.380303074,0.897944739,0.858293264
0.897944739,0.858293264,0.866601061
0.858293264,0.866601061,0.972337059
0.866601061,0.972337059,1.545152941
0.972337059,1.545152941,2.943427607
1.545152941,2.943427607,10.27925762
2.943427607,10.27925762,11.83847828
10.27925762,11.83847828,14.61286322
11.83847828,14.61286322,15.62349215
14.61286322,15.62349215,17.08344568
15.62349215,17.08344568,15.24039508
17.08344568,15.24039508,11.09962329
15.24039508,11.09962329,5.538049559
11.09962329,5.538049559,6.569333937
5.538049559,6.569333937,6.239807506
6.569333937,6.239807506,2.088489504
6.239807506,2.088489504,1.65614788
2.088489504,1.65614788,1.377406539
1.65614788,1.377406539,1.209710484
1.377406539,1.209710484,1.334936349
1.209710484,1.334936349,1.149279251
1.334936349,1.149279251,0.970044948
1.149279251,0.970044948,0.87481965
0.970044948,0.87481965,0.987009907
0.87481965,0.987009907,0.739911389
0.987009907,0.739911389,0.761692611
0.739911389,0.761692611,0.905417276
0.761692611,0.905417276,3.3615057
0.905417276,3.3615057,3.478145694
3.3615057,3.478145694,5.753180034
3.478145694,5.753180034,19.40422375
5.753180034,19.40422375,21.86224996
19.40422375,21.86224996,21.43441863
21.86224996,21.43441863,18.25434509
21.43441863,18.25434509,13.02748012
18.25434509,13.02748012,5.84665405
13.02748012,5.84665405,3.989723292
5.84665405,3.989723292,2.856508063
3.989723292,2.856508063,3.851475337
2.856508063,3.851475337,1.877174463
3.851475337,1.877174463,1.355170668
1.877174463,1.355170668,0.991428888
1.355170668,0.991428888,1.0089134
0.991428888,1.0089134,0.986053119
1.0089134,0.986053119,1.259223164
0.986053119,1.259223164,1.341232765
1.259223164,1.341232765,1.220802808
1.341232765,1.220802808,0.913933364
1.220802808,0.913933364,0.866584258
0.913933364,0.866584258,0.772945229
0.866584258,0.772945229,0.968730712
0.772945229,0.968730712,1.775202572
0.968730712,1.775202572,3.797018161
1.775202572,3.797018161,7.321912538
3.797018161,7.321912538,13.54336782
7.321912538,13.54336782,15.64150093
