input1,input2,output
13689,14427,17939
14427,17939,12749
17939,12749,10311
12749,10311,8980
10311,8980,9551
8980,9551,10360
9551,10360,10580
10360,10580,12481
10580,12481,13510
12481,13510,12526
13510,12526,12906
12526,12906,5413
12906,5413,4943
5413,4943,6799
4943,6799,7605
6799,7605,9282
7605,9282,8298
9282,8298,11195
8298,11195,21987
11195,21987,17883
21987,17883,17223
17883,17223,15378
17223,15378,15020
15378,15020,15802
15020,15802,14885
15802,14885,14528
14885,14528,11922
14528,11922,8007
11922,8007,17491
8007,17491,19818
17491,19818,17212
19818,17212,15858
17212,15858,16619
15858,16619,14192
16619,14192,16798
14192,16798,17670
16798,17670,15355
17670,15355,15981
15355,15981,12626
15981,12626,13778
12626,13778,15187
13778,15187,13510
15187,13510,14047
13510,14047,13510
14047,13510,13118
13510,13118,15735
13118,15735,13466
15735,13466,13890
13466,13890,13890
13890,13890,14494
13890,14494,14293
14494,14293,13711
14293,13711,14337
13711,14337,13801
14337,13801,13745
13801,13745,6408
13745,6408,11217
6408,11217,7426
11217,7426,7135
7426,7135,7851
7135,7851,8790
7851,8790,8846
8790,8846,10490
8846,10490,8320
10490,8320,11049
8320,11049,7303
11049,7303,21529
7303,21529,22562
21529,22562,18822
22562,18822,18945
18822,18945,13957
18945,13957,15210
13957,15210,14226
15210,14226,15903
14226,15903,16932
15903,16932,18252
16932,18252,15523
18252,15523,17827
15523,17827,16932
17827,16932,15143
16932,15143,15769
15143,15769,16708
15769,16708,18587
16708,18587,17715
18587,17715,12414
17715,12414,14091
12414,14091,15344
14091,15344,15143
15344,15143,12973
15143,12973,14829
12973,14829,14315
14829,14315,12984
14315,12984,8689
12984,8689,7068
8689,7068,6620
7068,6620,6240
6620,6240,6229
6240,6229,7739
6229,7739,8891
7739,8891,10132
8891,10132,11418
10132,11418,10714
11418,10714,10490
10714,10490,10759
10490,10759,15020
10759,15020,15825
15020,15825,15053
15825,15053,12850
15053,12850,15892
12850,15892,13308
15892,13308,13644
13308,13644,13555
13644,13555,10624
13555,10624,12335
10624,12335,11877
12335,11877,10960
11877,10960,10177
10960,10177,11989
10177,11989,12749
11989,12749,13130
12749,13130,12212
13130,12212,13510
12212,13510,14941
13510,14941,12548
14941,12548,14740
12548,14740,13592
14740,13592,14751
13592,14751,12738
14751,12738,14315
12738,14315,10266
14315,10266,7515
10266,7515,7314
7515,7314,7694
7314,7694,8209
7694,8209,9204
